TDoc,Link,Filename
RP-213514,http://3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_94e/Docs/RP-213514.zip,
RP-213514,http://3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_94e/Docs/RP-213514.zip,
SP-200452,http://3gpp.org/ftp/tsg_sa/TSG_SA/TSGS_88E_Electronic/Docs/SP-200452.zip,
CP-213082,http://3gpp.org/ftp/tsg_ct/TSG_CT/TSGC_94e/Docs/CP-213082.zip,
SP-200447,http://3gpp.org/ftp/tsg_sa/TSG_SA/TSGS_88E_Electronic/Docs/SP-200447.zip,
CP-211184,http://3gpp.org/ftp/tsg_ct/TSG_CT/TSGC_92e/Docs/CP-211184.zip,
SP-200448,http://3gpp.org/ftp/tsg_sa/TSG_SA/TSGS_88E_Electronic/Docs/SP-200448.zip,
CP-212099,http://3gpp.org/ftp/tsg_ct/TSG_CT/TSGC_93e/Docs/CP-212099.zip,
SP-200453,http://3gpp.org/ftp/tsg_sa/TSG_SA/TSGS_88E_Electronic/Docs/SP-200453.zip,
CP-210272,http://3gpp.org/ftp/tsg_ct/TSG_CT/TSGC_91e/Docs/CP-210272.zip,
SP-200446,http://3gpp.org/ftp/tsg_sa/TSG_SA/TSGS_88E_Electronic/Docs/SP-200446.zip,
CP-212163,http://3gpp.org/ftp/tsg_ct/TSG_CT/TSGC_93e/Docs/CP-212163.zip,
SP-200454,http://3gpp.org/ftp/tsg_sa/TSG_SA/TSGS_88E_Electronic/Docs/SP-200454.zip,
SP-200455,http://3gpp.org/ftp/tsg_sa/TSG_SA/TSGS_88E_Electronic/Docs/SP-200455.zip,
CP-212165,http://3gpp.org/ftp/tsg_ct/TSG_CT/TSGC_93e/Docs/CP-212165.zip,
SP-200456,http://3gpp.org/ftp/tsg_sa/TSG_SA/TSGS_88E_Electronic/Docs/SP-200456.zip,
CP-211089,http://3gpp.org/ftp/tsg_ct/TSG_CT/TSGC_92e/Docs/CP-211089.zip,
SP-200457,http://3gpp.org/ftp/tsg_sa/TSG_SA/TSGS_88E_Electronic/Docs/SP-200457.zip,
SP-200854,http://3gpp.org/ftp/tsg_sa/TSG_SA/TSGs_89E_Electronic/Docs/SP-200854.zip,
CP-211194,http://3gpp.org/ftp/tsg_ct/TSG_CT/TSGC_92e/Docs/CP-211194.zip,
